iter	Passed	Remaining
602	19599	19404
603	19630	19370
604	19660	19335
605	19692	19302
606	19723	19268
607	19756	19236
608	19787	19202
609	19818	19168
610	19850	19135
611	19885	19105
612	19916	19072
613	19948	19038
614	19978	19004
615	20011	18971
616	20044	18939
617	20076	18906
618	20108	18873
619	20138	18839
620	20170	18806
621	20201	18772
622	20231	18738
623	20262	18703
624	20292	18669
625	20323	18635
626	20355	18602
627	20387	18569
628	20422	18539
629	20453	18505
630	20484	18471
631	20514	18437
632	20546	18404
633	20577	18370
634	20609	18337
635	20640	18304
636	20670	18269
637	20704	18237
638	20736	18205
639	20768	18172
640	20799	18139
641	20832	18106
642	20863	18073
643	20895	18040
644	20931	18011
645	20965	17979
646	20995	17944
647	21027	17912
648	21058	17878
649	21090	17845
650	21123	17814
651	21155	17781
652	21187	17747
653	21219	17714
654	21286	17712
655	21320	17680
656	21350	17645
657	21379	17610
658	21410	17576
659	21444	17545
660	21475	17511
661	21506	17477
662	21537	17444
663	21568	17410
664	21600	17377
665	21630	17343
666	21661	17309
667	21694	17277
668	21725	17243
669	21756	17210
670	21788	17177
671	21818	17143
672	21849	17109
673	21880	17076
674	21911	17042
675	21944	17010
676	21981	16981
677	22016	16950
678	22046	16916
679	22077	16882
680	22107	16848
681	22139	16815
682	22171	16782
683	22202	16749
684	22233	16715
685	22263	16681
686	22295	16648
687	22327	16615
688	22359	16582
689	22391	16550
690	22424	16518
691	22456	16485
692	22495	16457
693	22528	16425
694	22559	16391
695	22638	16393
696	22670	16360
697	22700	16326
698	22732	16293
699	22763	16259
700	22793	16225
701	22824	16191
702	22855	16158
703	22886	16124
704	22917	16090
705	22949	16058
706	22985	16027
707	23018	15995
708	23049	15962
709	23081	15929
710	23112	15895
711	23143	15862
712	23174	15828
713	23208	15797
714	23243	15766
715	23273	15732
716	23304	15698
717	23334	15664
718	23365	15630
719	23400	15600
720	23434	15568
721	23468	15537
722	23501	15505
723	23537	15474
724	23570	15442
725	23603	15410
726	23638	15379
727	23675	15350
728	23708	15317
729	23740	15285
730	23774	15253
731	23808	15221
732	23842	15190
733	23874	15157
734	23907	15124
735	23941	15093
736	23978	15063
737	24013	15033
738	24051	15003
739	24088	14973
740	24121	14941
741	24155	14909
742	24191	14879
743	24225	14848
744	24264	14819
745	24298	14787
746	24332	14755
747	24364	14723
748	24397	14690
749	24429	14657
750	24465	14626
751	24498	14594
752	24531	14562
753	24567	14532
754	24604	14501
755	24636	14469
756	24668	14436
757	24703	14404
758	24736	14372
759	24768	14339
760	24800	14306
761	24834	14274
762	24869	14243
763	24904	14212
764	24939	14181
765	24973	14149
766	25007	14117
767	25041	14085
768	25078	14055
769	25116	14026
770	25153	13996
771	25186	13963
772	25221	13932
773	25257	13901
774	25291	13869
